Status,Total Acertos,Total Testes
Correto,3.0,3.0
Correto,3.0,3.0
Correto,4.0,4.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,5.0,5.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,1.0,1.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,4.0,4.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,1.0,1.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Incorreto,2.0,3.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,4.0,4.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,4.0,4.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,3.0,3.0
Erro,,
Correto,2.0,2.0
Correto,3.0,3.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Erro,,
Erro,,
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,3.0,3.0
Incorreto,0.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Incorreto,1.0,2.0
Correto,3.0,3.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,2.0,2.0
Correto,4.0,4.0
