maintainability_issues,technical_debt
1,5
0,0
1,5
1,5
2,7
2,7
2,10
0,0
2,10
3,9
1,5
1,5
1,5
1,5
2,16
1,5
2,10
1,5
1,5
1,5
1,5
1,5
1,5
1,5
4,14
1,5
1,5
1,5
2,10
3,12
1,5
1,5
1,5
1,5
2,10
1,5
4,14
1,5
1,5
1,5
1,5
1,5
2,7
1,5
2,7
1,5
0,0
1,5
1,5
0,0
2,12
0,0
1,5
1,2
2,7
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
2,10
1,5
2,11
1,5
1,5
5,25
5,19
1,5
1,5
1,5
1,5
2,7
0,0
1,5
0,0
4,14
2,7
1,5
1,5
1,5
1,5
4,14
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
2,7
1,5
1,5
3,13
1,5
2,19
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
2,6
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
2,7
1,5
1,5
1,5
1,5
3,9
0,0
1,5
1,5
1,5
0,0
0,0
1,5
1,5
2,16
1,5
1,5
4,14
5,13
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
2,7
1,5
2,7
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
1,5
3,9
1,5
0,0
1,5
1,5
1,5
0,0
2,26
1,5
1,5
0,0
2,15
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
0,0
1,5
1,5
2,7
0,0
1,5
1,5
1,5
0,0
2,10
1,5
1,5
1,5
1,5
1,5
1,5
3,9
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,10
1,5
1,5
1,5
1,5
1,5
1,5
2,19
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
2,28
1,5
1,5
2,7
2,10
0,0
1,5
0,0
1,5
1,5
2,22
0,0
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
2,7
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
2,7
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
2,28
1,5
0,0
1,5
2,7
0,0
1,5
1,5
1,5
1,5
4,11
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
2,7
3,9
1,5
1,5
1,5
0,0
1,5
1,5
0,0
2,10
2,10
1,5
1,5
1,5
1,5
0,0
2,10
0,0
0,0
1,5
2,11
5,35
0,0
1,5
0,0
1,5
1,5
1,5
2,6
1,5
1,5
1,5
0,0
1,5
1,5
1,5
2,20
1,5
8,26
2,10
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
2,15
1,5
1,5
1,5
1,5
1,5
1,5
3,15
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
2,10
2,7
5,18
1,2
2,7
1,5
1,5
1,5
1,5
1,5
3,18
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
2,10
2,7
1,5
1,5
1,5
1,5
2,12
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
1,5
1,5
1,2
1,5
1,5
1,5
1,5
1,5
1,5
2,10
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
3,9
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
0,0
1,5
2,10
0,0
1,5
1,5
1,5
0,0
0,0
0,0
1,5
1,5
0,0
0,0
1,5
3,16
1,5
1,5
1,5
1,5
4,14
1,5
0,0
0,0
0,0
1,5
0,0
1,5
2,16
1,5
0,0
1,5
1,5
1,5
2,24
2,10
0,0
1,5
0,0
1,5
1,5
1,5
2,7
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
2,10
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
2,10
1,5
1,5
0,0
1,5
1,5
1,5
2,7
1,5
0,0
1,5
1,5
3,12
1,2
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,10
1,5
1,5
2,10
0,0
1,5
1,5
1,5
