maintainability_issues,technical_debt
1,5
0,0
1,5
1,5
2,7
2,7
2,15
0,0
2,10
3,9
1,5
1,5
1,5
1,5
2,11
1,5
3,12
1,5
1,5
1,5
1,5
1,5
1,5
1,5
4,14
1,5
1,5
1,5
2,10
3,12
0,0
0,0
1,5
1,5
4,14
1,5
5,22
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
0,0
0,0
1,2
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
2,10
1,5
1,5
7,27
6,15
1,5
1,5
1,5
1,5
6,15
1,14
1,5
0,0
4,19
2,7
0,0
1,5
1,5
1,5
3,9
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
3,9
2,7
1,5
2,10
2,7
1,5
2,13
1,5
1,5
1,5
3,12
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
3,9
1,5
1,5
1,5
1,5
3,9
0,0
1,5
1,5
1,5
0,0
0,0
1,5
1,5
3,21
1,5
1,5
2,7
5,13
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,10
2,7
1,5
1,5
2,7
2,11
2,7
1,5
1,5
3,12
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
1,5
4,11
1,5
0,0
1,5
1,5
1,5
0,0
2,26
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
0,0
1,5
1,5
2,7
1,5
1,5
3,9
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
3,9
0,0
1,5
5,19
2,7
1,5
0,0
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
2,10
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,10
0,0
0,0
0,0
2,10
1,5
2,10
0,0
1,5
3,15
1,5
2,15
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,10
0,0
1,5
0,0
4,11
0,0
1,5
1,5
1,5
1,5
0,0
2,15
0,0
2,7
10,26
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
2,10
2,17
1,5
1,5
1,5
2,7
0,0
1,5
1,5
1,5
1,5
4,11
1,5
2,11
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
2,7
1,5
1,5
0,0
1,5
1,5
4,11
4,15
0,0
1,5
1,5
0,0
1,5
1,5
0,0
2,10
1,5
1,5
0,0
1,5
1,5
0,0
1,5
0,0
0,0
1,5
2,11
3,25
0,0
1,5
0,0
4,11
1,5
1,5
1,5
3,9
1,5
1,5
0,0
2,15
2,7
1,5
3,25
1,5
4,14
1,5
3,15
1,5
1,5
2,10
1,5
1,5
1,5
1,5
0,0
2,15
1,5
1,5
1,5
2,10
2,15
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
1,5
1,5
3,9
1,5
1,5
1,5
0,0
2,10
2,7
4,11
1,2
5,13
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
3,9
1,5
1,5
1,5
1,5
1,5
1,5
2,10
2,7
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
0,0
1,5
1,5
3,20
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
2,11
1,5
1,2
1,5
1,5
1,5
1,5
1,5
1,5
1,5
3,9
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
3,9
1,5
1,5
1,5
1,5
1,5
1,5
2,10
0,0
2,7
2,11
1,5
0,0
0,0
1,5
2,7
0,0
3,9
1,5
1,5
0,0
0,0
0,0
1,5
1,5
0,0
0,0
2,7
1,5
1,5
1,5
1,5
1,5
3,9
1,5
0,0
0,0
1,6
1,5
0,0
1,5
3,34
1,5
7,35
1,5
1,5
1,5
2,26
1,5
8,50
1,5
0,0
1,5
1,5
2,16
4,16
1,5
1,5
1,5
1,5
1,5
0,0
2,11
0,0
2,14
0,0
1,5
2,14
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
4,17
1,5
3,15
0,0
2,7
1,5
1,5
2,7
4,24
0,0
1,5
2,7
1,5
1,2
1,5
1,5
1,5
1,5
2,7
0,0
2,10
2,10
1,5
2,7
1,5
1,5
1,5
1,5
1,5
2,15
3,9
1,5
1,5
1,5
1,5
