maintainability_issues,technical_debt
1,5
0,0
1,5
1,5
2,7
2,7
2,10
0,0
2,10
3,9
1,5
1,5
1,5
1,5
2,15
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
3,17
1,5
1,5
1,5
1,5
4,17
1,5
1,5
1,5
1,5
2,10
1,5
4,17
1,5
1,5
1,5
1,5
1,5
2,7
1,5
4,11
2,15
0,0
1,5
1,5
0,0
1,5
0,0
1,5
1,2
2,7
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
2,10
1,5
5,25
1,5
1,5
5,30
6,15
1,5
1,5
1,5
1,5
5,22
1,9
1,5
0,0
3,9
2,7
1,5
1,5
1,5
1,5
3,9
0,0
1,5
1,5
2,15
1,5
1,5
1,5
1,5
3,9
2,7
1,5
1,5
3,16
1,5
2,11
1,5
1,5
1,5
1,5
3,9
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
2,11
1,5
1,5
1,5
1,5
2,7
1,5
3,9
1,5
1,5
1,5
1,5
3,9
1,5
2,10
1,5
1,5
0,0
0,0
1,5
1,5
2,16
1,5
1,5
3,17
5,13
1,5
3,15
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
2,7
1,5
2,7
1,5
1,5
1,5
1,5
3,23
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
1,5
4,14
1,5
0,0
1,5
1,5
1,5
0,0
1,5
2,10
0,0
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
5,25
2,10
2,7
0,0
1,5
1,5
2,7
1,5
1,5
2,15
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
3,9
0,0
1,5
2,15
1,5
1,5
0,0
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
3,15
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,10
1,5
1,5
1,5
1,5
1,5
1,5
2,11
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,10
0,0
1,5
0,0
1,5
2,10
3,15
1,5
1,5
0,0
1,5
2,17
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
0,0
1,5
1,5
0,0
1,5
0,0
2,7
1,5
1,5
1,5
1,5
1,5
0,0
3,25
0,0
2,7
9,24
0,0
1,5
1,5
2,51
1,5
2,10
1,5
1,5
1,5
1,5
2,31
1,5
1,5
0,0
2,7
0,0
1,5
1,5
1,5
1,5
4,11
3,25
2,15
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
2,7
1,5
1,5
2,10
2,11
1,5
1,5
3,15
1,5
1,5
2,7
3,9
0,0
1,5
1,5
0,0
2,15
1,5
0,0
1,5
1,5
1,5
1,5
2,10
1,5
0,0
1,5
0,0
0,0
1,5
2,11
3,18
0,0
1,5
1,5
1,5
1,5
1,5
1,5
3,9
1,5
1,2
1,2
1,5
2,7
1,5
1,5
1,5
2,16
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
2,15
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
2,10
2,7
7,49
1,2
3,9
1,5
1,5
1,5
0,0
2,10
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
3,14
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,16
2,10
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
2,7
1,5
1,5
3,15
1,5
1,5
1,2
1,5
1,5
1,5
1,5
2,10
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
2,14
1,5
1,5
3,9
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
2,7
2,12
1,5
0,0
0,0
1,5
2,7
0,0
1,5
0,0
1,5
0,0
0,0
0,0
1,5
1,5
0,0
0,0
2,7
3,16
2,10
1,5
1,5
1,5
3,9
1,5
0,0
0,0
0,0
2,10
1,5
1,5
2,23
1,5
0,0
1,5
1,5
1,5
2,10
2,13
8,50
1,5
0,0
1,5
1,5
1,5
1,2
2,10
1,5
1,5
1,5
1,5
0,0
1,5
3,9
2,11
0,0
1,5
2,11
2,15
2,15
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
0,0
1,5
1,5
1,5
2,7
3,19
0,0
1,5
1,5
2,7
1,2
1,5
1,5
1,5
1,5
2,7
0,0
1,5
2,10
1,5
2,7
1,5
1,5
1,5
2,13
2,7
1,5
3,9
1,5
1,5
1,5
1,5
