maintainability_issues,technical_debt
1,5
0,0
1,5
1,5
1,5
2,7
2,10
0,0
2,10
3,9
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
2,7
1,5
1,5
2,7
1,5
2,7
1,5
1,5
1,5
1,5
2,10
2,14
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
0,0
0,0
1,5
1,5
2,12
0,0
2,7
1,2
2,7
1,5
1,5
2,15
1,5
1,5
0,0
1,5
1,5
0,0
1,5
0,0
2,10
1,5
1,5
1,5
1,5
7,34
4,11
1,5
1,5
0,0
1,5
0,0
0,0
1,5
0,0
0,0
2,7
2,15
1,5
1,5
1,5
3,9
0,0
0,0
1,5
2,13
1,5
1,5
1,5
1,5
3,9
2,7
1,5
2,10
2,7
1,5
2,12
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
0,0
1,5
2,6
1,5
5,19
1,5
1,5
1,5
1,5
2,7
1,5
2,7
1,5
1,5
2,11
1,5
3,9
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
2,16
1,5
1,5
3,17
5,13
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
0,0
2,7
1,5
1,5
2,7
1,5
2,7
1,5
1,5
1,5
1,5
1,5
2,10
0,0
1,5
1,5
1,5
2,7
1,5
1,5
1,5
1,5
3,9
1,5
0,0
1,5
1,5
1,5
0,0
2,26
1,5
1,5
0,0
1,5
1,5
0,0
1,5
2,10
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
2,7
1,5
1,5
2,10
2,7
3,16
1,5
2,12
1,5
0,0
1,5
1,5
1,5
1,5
2,7
1,5
1,5
3,9
0,0
1,5
2,15
1,5
1,5
1,5
0,0
1,5
0,0
2,15
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
2,10
1,5
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,10
0,0
1,5
0,0
2,10
1,5
2,10
1,10
0,0
0,0
1,5
2,15
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
2,7
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
2,7
1,5
1,5
1,5
1,5
3,15
0,0
1,5
0,0
1,5
9,24
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,41
1,10
1,5
0,0
0,0
0,0
1,5
1,5
1,5
1,5
4,11
1,5
3,18
1,5
1,5
1,5
2,10
1,5
1,5
0,0
1,5
3,15
1,5
2,7
1,5
1,5
2,10
1,5
1,5
1,5
1,5
1,5
1,5
3,9
3,9
1,5
1,5
1,5
0,0
2,10
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
2,10
0,0
0,0
1,5
3,16
5,37
0,0
1,5
0,0
4,11
1,5
1,5
1,5
3,9
1,5
1,5
0,0
2,15
2,7
1,5
0,0
1,5
8,26
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
2,15
1,5
0,0
1,5
2,10
0,0
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
2,7
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
3,12
2,7
0,0
1,2
2,7
1,5
1,5
1,5
1,5
0,0
1,5
0,0
0,0
1,5
1,5
2,10
1,5
0,0
1,5
1,5
0,0
1,5
1,5
3,13
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
2,14
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
3,15
2,7
1,5
1,5
1,5
0,0
1,5
1,2
1,5
1,5
1,5
1,5
3,15
1,5
2,10
1,5
0,0
1,5
1,5
1,5
1,5
2,18
1,5
1,5
3,9
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
2,7
2,12
0,0
0,0
0,0
1,5
2,7
0,0
3,9
1,5
1,5
0,0
0,0
0,0
1,5
1,5
0,0
0,0
2,7
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
0,0
1,5
1,5
1,5
2,16
1,5
0,0
1,5
1,5
1,5
0,0
2,36
6,30
1,5
0,0
1,5
1,5
1,5
0,0
2,10
1,5
1,5
1,5
1,5
0,0
1,5
3,9
2,22
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
3,12
0,0
0,0
1,5
0,0
1,5
1,5
1,5
2,7
3,19
0,0
1,5
1,5
0,0
1,2
1,5
1,5
1,5
1,5
2,7
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
3,17
1,5
1,5
3,9
0,0
1,5
1,5
1,5
